Stocks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brussels - Euronext,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

Instrument's name,ISIN,Euronext code,Market,Symbol,ICB Sector (Level 4),Trading currency,Last,Volume,D/D-1 (%),Date - time (CET),Turnover,Total number of shares,Capitalisation,Compartment,Investment zone,Eligibility,Trading mode,Day First,Day High,Day High / Date - time (CET),Day Low,Day Low / Date - time (CET), 31-12/Change (%), 31-12/High, 31-12/High/Date, 31-12/Low, 31-12/Low/Date, 52 weeks/Change (%), 52 weeks/High, 52 weeks/High/Date, 52 weeks/Low, 52 weeks/Low/Date,Website,Investor relation contact,Phone number,ICB Sector (Level 1),ICB Sector (Level 2),ICB Sector (Level 3),Personal equity saving plan eligibility,Deferred Settlement Service,Halted,Halted / Date - time (CET)
BEFIMMO-SICAFI,BE0003678894,BE0003678894,BRU,BEFB,8671 Industrial & Office REITs,EUR,48.82,42397,-0.46,2009-12-11 17:35,2083487,"17,427,474","850,809,281",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,49.4,49.74,2009-12-11 11:58,48.82,2009-12-11 17:35,-20.36,64.8,2024-5-11,48.19,2029-11-11,-29,69.05,2010-12-10,48.19,2029-11-11,"=LIEN_HYPERTEXTE(""http://www.befimmo.be"";""http://www.befimmo.be"")",Delacroix Emilie,+32 2 679 38 63,8000 Financials,8600 Real Estate,8670 Real Estate Investment Trusts,Yes,No,-,-
BEKAERT (D),BE0974258874,BE0974258874,BRU,BEKB,2727 Diversified Industrials,EUR,28.045,202278,3.3,2009-12-11 17:35,5556027,"59,973,198","1,681,948,338",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,27.25,28.34,2009-12-11 12:55,26.7,2009-12-11 10:04,-67.35,87.98,2004-1-11,25.31,2025-11-11,-66.85,87.98,2004-1-11,25.31,2025-11-11,"=LIEN_HYPERTEXTE(""http://www.bekaert.com"";""http://www.bekaert.com"")",Jacques Anckaert,3256230511,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,Yes,No,-,-
BEKAERT STRIP (D),BE0005640140,BE0005640140,BRU,BEKS,2727 Diversified Industrials,EUR,0.062,900,-3.12,2009-12-11 15:00,56,"12,645,201","784,002",null,Belgium zone  ,,Call auction,0.062,0.062,2009-12-11 15:00,0.062,2009-12-11 15:00,-73.04,0.44,2001-4-11,0.05,2017-11-11,-71.69,0.44,2001-4-11,0.05,2017-11-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2720 General Industrials,No,No,-,-
BELGACOM,BE0003810273,BE0003810273,BRU,BELG,6535 Fixed Line Telecommunications,EUR,23.685,423621,1.87,2009-12-11 17:36,9983651,"338,025,135","8,006,125,322",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,23.25,23.77,2009-12-11 16:36,23.17,2009-12-11 9:09,-5.73,28.06,2007-4-11,21.145,2001-11-11,-8.38,28.06,2007-4-11,21.15,2001-11-11,"=LIEN_HYPERTEXTE(""http://www.belgacom.com"";""http://www.belgacom.com"")",Ingvild Van Lysebetten,+32 2 202 4023,6000 Telecommunications,6500 Telecommunications,6530 Fixed Line Telecommunications,Yes,No,-,-
BELRECA,BE0020575115,BE0020575115,BRU,BELR,8775 Specialty Finance,EUR,76,15,2.7,1930-11-11 16:30,1140,"315,594","23,985,144",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,76,76,1930-11-11 16:30,76,1930-11-11 16:30,-5,88,2017-5-11,73,2008-9-11,-2.56,88,2017-5-11,73,2008-9-11,"=LIEN_HYPERTEXTE(""http://www.belreca.be"";""http://www.belreca.be"")",-,+32 3 230 98 19,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
BELUGA,BE0003723377,BE0003723377,BRU,BELU,8775 Specialty Finance,EUR,2.5,19,-7.75,2009-12-11 11:30,48,"1,366,990","3,417,475",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,2.5,2.5,2009-12-11 11:30,2.5,2009-12-11 11:30,-44.44,4.74,2024-1-11,2.5,2005-12-11,-25.15,4.74,2024-1-11,2.5,2005-12-11,"=LIEN_HYPERTEXTE(""http://www.belugainvest.com"";""http://www.belugainvest.com"")",Bruno Lippens,02 462 61 15,8000 Financials,8700 Financial Services,8770 Financial Services,Yes,No,-,-
BELUGA STRIP,BE0005535068,BE0005535068,BRU,BELUS,8775 Specialty Finance,EUR,0.001,1058,0,2020-5-11 15:00,1,"1,300,000","1,300",null,Belgium zone  ,,Call auction,0.001,0.001,2020-5-11 15:00,0.001,2020-5-11 15:00,0,0.001,1930-3-11,0.001,1930-3-11,-85.71,0.2,2027-7-10,0,1930-3-11,-,-,-,8000 Financials,8700 Financial Services,8770 Financial Services,No,No,-,-
BIOTECH (PRICAF),BE0003795128,BE0003795128,BRU,BIOT,8985 Equity Investment Instruments,EUR,4.09,200,0,2009-12-11 11:30,818,"3,416,667","13,974,168",Compartment C (Small Caps),Belgium zone  ,PEA eligible,Double call auction,4.09,4.09,2009-12-11 11:30,4.09,2009-12-11 11:30,-0.24,4.17,2021-10-11,4,2009-8-11,-0.73,4.17,2021-10-11,4,2009-8-11,"=LIEN_HYPERTEXTE(""http://www.kbcam.be/biotech"";""http://www.kbcam.be/biotech"")",-,-,8000 Financials,8900 Equity/NonEquity Investment Instruments,8980 Equity Investment Instruments,Yes,No,-,-
BOEING CERT,BE0004608494,BE0004608494,BRU,BAB,2713 Aerospace,EUR,52.35,1600,-1.23,2008-12-11 16:30,83760,"998,738","52,283,934",null,International zone (out of Euro)  ,,Double call auction,52.35,52.35,2008-12-11 16:30,52.35,2008-12-11 16:30,9.75,55.15,2013-5-11,39.6,2022-8-11,6.4,55.15,2013-5-11,39.6,2022-8-11,-,-,-,2000 Industrials,2700 Industrial Goods & Services,2710 Aerospace & Defense,No,No,-,-
BQUE NAT. BELGIQUE,BE0003008019,BE0003008019,BRU,BNB,8355 Banks,EUR,2075.1,81,1.22,2009-12-11 17:35,168018,"400,000","830,040,000",Compartment A (Large Caps),Belgium zone  ,PEA eligible,Continuous,2050,2096.98,2009-12-11 16:34,2050,2009-12-11 9:00,-40.46,3560,2018-5-11,1970,1930-11-11,-40.11,3560,2018-5-11,1970,1930-11-11,"=LIEN_HYPERTEXTE(""http://www.nbb.be"";""http://www.nbb.be"")",Press Office,02 221 55 31,8000 Financials,8300 Banks,8350 Banks,Yes,No,-,-
